fdc_id,name,food_group,data_type,energy_kcal,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,saturated_fat_g,cholesterol_mg,magnesium_mg,vitamin_b12_ug,vitamin_d_ug,zinc_mg,glycemic_index,allergens,diet_tags,fodmap,acidic,gluten,animal_product,lactose,gerd_trigger,fish_seafood,fodmap_flags
222278348,"Broccoli, raw",Vegetables,Foundation,34,2.8,0.4,6.6,2.6,1.7,33,316,47,0.7,89.2,0.1,0,21,0,0,0.4,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
61994081,"Spinach, raw",Vegetables,Foundation,23,2.9,0.4,3.6,2.2,0.4,79,558,99,2.7,28.1,0.1,0,79,0,0,0.5,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
99764902,"Carrots, raw",Vegetables,Foundation,41,0.9,0.2,9.6,2.8,4.7,69,320,33,0.3,5.9,0.0,0,12,0,0,0.2,39,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
138329004,"Sweet potato, baked",Vegetables,Foundation,90,2.0,0.1,20.7,3.3,6.5,36,475,38,0.7,19.6,0.0,0,27,0,0,0.3,63,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
172565560,"Cauliflower, raw",Vegetables,Foundation,25,1.9,0.3,5.0,2.0,1.9,30,299,22,0.4,48.2,0.1,0,15,0,0,0.3,15,,vegan|vegetarian|pescatarian,H,N,N,N,N,,N,
184034918,"Bell pepper, red, raw",Vegetables,Foundation,31,1.0,0.3,6.0,2.1,4.2,4,211,7,0.4,127.7,0.0,0,12,0,0,0.3,40,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
28982597,"Zucchini, raw",Vegetables,Foundation,17,1.2,0.3,3.1,1.0,2.5,8,261,16,0.4,17.9,0.1,0,18,0,0,0.3,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
20302867,"Kale, raw",Vegetables,Foundation,49,4.3,0.9,8.8,3.6,2.3,38,491,150,1.5,120.0,0.1,0,47,0,0,0.6,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
257790383,"Green beans, cooked",Vegetables,Foundation,35,1.9,0.3,7.9,3.4,1.9,1,209,44,0.7,9.7,0.1,0,25,0,0,0.3,30,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
122355924,"Cucumber, raw",Vegetables,Foundation,15,0.7,0.1,3.6,0.5,1.7,2,147,16,0.3,2.8,0.0,0,13,0,0,0.2,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
200504529,"Tomato, raw",Vegetables,Foundation,18,0.9,0.2,3.9,1.2,2.6,5,237,10,0.3,13.7,0.0,0,11,0,0,0.2,15,,vegan|vegetarian|pescatarian,L,Y,N,N,N,tomato,N,
80954878,"Onion, raw",Vegetables,Foundation,40,1.1,0.1,9.3,1.7,4.2,4,146,23,0.2,7.4,0.0,0,10,0,0,0.2,15,,vegan|vegetarian|pescatarian,H,N,N,N,N,,N,onion
205256198,"Garlic, raw",Vegetables,Foundation,149,6.4,0.5,33.1,2.1,1.0,17,401,181,1.7,31.2,0.1,0,25,0,0,1.2,15,,vegan|vegetarian|pescatarian,H,N,N,N,N,,N,garlic
112473772,"Eggplant, cooked",Vegetables,Foundation,35,0.8,0.2,8.7,2.5,3.2,1,123,6,0.3,1.3,0.0,0,11,0,0,0.1,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
105438928,"Banana, raw",Fruits,Foundation,89,1.1,0.3,22.8,2.6,12.2,1,358,5,0.3,8.7,0.1,0,27,0,0,0.2,51,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
205603120,"Apple, raw",Fruits,Foundation,52,0.3,0.2,13.8,2.4,10.4,1,107,6,0.1,4.6,0.0,0,5,0,0,0.0,36,,vegan|vegetarian|pescatarian,H,N,N,N,N,,N,
2469434,"Blueberries, raw",Fruits,Foundation,57,0.7,0.3,14.5,2.4,10.0,1,77,6,0.3,9.7,0.0,0,6,0,0,0.2,53,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
234973771,"Strawberries, raw",Fruits,Foundation,32,0.7,0.3,7.7,2.0,4.9,1,153,16,0.4,58.8,0.0,0,13,0,0,0.1,41,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
224512751,"Orange, raw",Fruits,Foundation,47,0.9,0.1,11.8,2.4,9.4,0,181,40,0.1,53.2,0.0,0,10,0,0,0.1,43,,vegan|vegetarian|pescatarian,L,Y,N,N,N,citrus,N,
201475514,"Grapes, raw",Fruits,Foundation,69,0.7,0.2,18.1,0.9,15.5,2,191,10,0.4,3.2,0.1,0,7,0,0,0.1,53,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
250200063,"Avocado, raw",Fruits,Foundation,160,2.0,14.7,8.5,6.7,0.7,7,485,12,0.6,10.0,2.1,0,29,0,0,0.6,15,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
35000713,"Kiwi, raw",Fruits,Foundation,61,1.1,0.5,14.7,3.0,9.0,3,312,34,0.3,92.7,0.0,0,17,0,0,0.1,50,,vegan|vegetarian|pescatarian,L,N,N,N,N,,N,
193534578,"Lemon, raw",Fruits,Foundation,29,1.1,0.3,9.3,2.8,2.5,2,138,26,0.6,53.0,0.0,0,8,0,0,0.1,20,,vegan|vegetarian|pescatarian,L,Y,N,N,N,citrus,N,
